Name,shortName,massNumber,atomicNumber,halfLife,decayModes
Uranium-235,235U,235,92,2.22E+16,"[231Th,a,100]"
Thorium-231,231Th,231,90,9.19E+04,"[231Pa,b-,100]"
Protactinium-231,231Pa,231,91,1.03E+12,"[227Ac,a,100]"
Actinium-227,227Ac,227,89,6.87E+08,"[223Fr,a,1.38]&[227Th,b-,98.61]"
Thorium-227,227Th,227,90,1.61E+06,"[223Ra,a,100]"
Francium-223,223Fr,223,87,1.32E+03,"[219At,a,0.006]&[223Ra,b-,99.994]"
Radium-223,223Ra,223,88,6.86E+02,"[223Rn,a,100]"
Astatine-219,219At,219,85,5.60E+01,"[215Bi,a,97]&[223Rn,b-,3]"
Radon-223,223Rn,223,86,3.96E+00,"[215Po,a,100]"
Bismuth-215,215Bi,215,83,4.56E+02,"[215Po,b-,100]"
Polonium-215,215Po,215,84,1.78E-03,"[211Pb,a,99.99977]&[215At,b-,2.3E-4]"
Lead-211,211Pb,211,82,2.17E+03,"[211Bi,b-,100]"
Astatine-215,215At,215,85,1.00E-04,"[211Bi,a,100]"
Bismuth-211,211Bi,211,83,1.28E+02,"[207Tl,a,99.724]&[211Po,b-,0.276]"
Thallium-207,207Tl,207,81,2.86E+02,"[207Pb,b-,100]"
Polonium-211,211Po,211,84,5.16E-01,"[207Pb,a,100]"
Lead-207,207Pb,207,82,stable,
Uranium-238,238U,238,92,1.42E+17,"[234Th,a,100]"
Thorium-234,234Th,234,90,2.33E+06,"[234Pa,b-,100]"
Protactinium-234,234Pa,234,91,7.20E+01,"[234U,b-,100]"
Uranium-234,234U,234,92,7.74E+12,"[230Th,a,100]"
Thorium-230,230Th,230,90,2.38E+12,"[226Ra,a,100]"
Radium-226,226Ra,226,88,5.05E+10,"[222Rn,a,100]"
Radon-222,222Rn,222,86,3.28E+05,"[218Po,a,100]"
Polonium-218,218Po,218,84,1.86E+02,"[214Pb,a,100]"
Lead-214,214Pb,214,82,1.61E+03,"[214Bi,b-,100]"
Astatine-218,218At,218,85,1.50E+00,"[214Bi,a,100]"
Bismuth-214,214Bi,214,83,1.20E+03,"[210Tl,a,0.021]&[214Po,b-,99.979]"
Thallium-210,210Tl,210,81,7.80E+01,"[210Pb,b-,100]"
Polonium-214,214Po,214,84,1.64E-01,"[210Pb,a,100]"
Lead-210,210Pb,210,82,7.03E+08,"[206Hg,a,1.9E-6]&[210Bi,b-,99.9999981]"
Mercury-206,206Hg,206,80,4.86E+02,"[206Tl,b-,100]"
Bismuth-210,210Bi,210,83,4.32E+05,"[206Tl,a,1.32E-4]&[210Po,b-,99.999868]"
Thallium-206,206Tl,206,81,2.52E+02,"[206Pb,b-,100]"
Polonium-210,210Po,210,84,1.19E+07,"[206Pb,a,100]"
Lead-206,206Pb,206,82,stable,
